id,image_id,caption
Digital Scholarship in the Humanities-1001,Digital Scholarship in the Humanities-1001-Figure 1,"Confusion matrix for the CatBoost Classifier. Abbas Hafiz: 0, Abdulfattah Abdalla: 1, Hiba Ghanim: 2, Mustafa Fuaad: 3, Sara Taha Allam: 4, Sara Yakut: 5"
Digital Scholarship in the Humanities-1001,Digital Scholarship in the Humanities-1001-Figure 2,"The impact of the number of features on classification accuracy. The higher the number of features, the higher the F1 score, which indicates that adding more features may still lead to better performance"
Digital Scholarship in the Humanities-1002,Digital Scholarship in the Humanities-1002-Figure 1,A normal Zeta analysis of ten texts each by Cather and Wharton
Digital Scholarship in the Humanities-1002,Digital Scholarship in the Humanities-1002-Figure 2,"An artificial Zeta analysis of ten texts each by Cather and Wharton, randomized"
Digital Scholarship in the Humanities-1002,Digital Scholarship in the Humanities-1002-Figure 3,An artificial Zeta analysis of forty nineteenth-century novels by forty authors
Digital Scholarship in the Humanities-1002,Digital Scholarship in the Humanities-1002-Figure 4,A Zeta analysis of twenty gothic novels by men and twenty by women
Digital Scholarship in the Humanities-1002,Digital Scholarship in the Humanities-1002-Figure 5,A Zeta analysis of poetry by MacLeish and Millay
Digital Scholarship in the Humanities-1002,Digital Scholarship in the Humanities-1002-Figure 6,A Zeta analysis of fiction by Arthur and 137 other American authors
Digital Scholarship in the Humanities-1007,Digital Scholarship in the Humanities-1007-Figure 1,"Hierarchical clustering of the corpus with 70% culling and using 1,500 most frequent 3-grams."
Digital Scholarship in the Humanities-1007,Digital Scholarship in the Humanities-1007-Figure 2,Hierarchical clustering of the corpus with 70% culling and 300 MFWs.
Digital Scholarship in the Humanities-1007,Digital Scholarship in the Humanities-1007-Figure 3,"PCA with Frankenstein and other works of Mary Shelley, Percy Shelley, and William Godwin, using the 1500 most frequent 3-grams with 70% culling."
Digital Scholarship in the Humanities-1007,Digital Scholarship in the Humanities-1007-Figure 4,"PCA with Frankenstein and other works of Mary Shelley, Percy Shelley, and William Godwin, using the 300 MFWs with 70% culling."
Digital Scholarship in the Humanities-1007,Digital Scholarship in the Humanities-1007-Figure 5,"Results from applying the Impostors algorithm to Frankenstein, using the classic Delta distance. (a) 3-grams. (b) word tokens."
Digital Scholarship in the Humanities-1012,Digital Scholarship in the Humanities-1012-Figure 1,"Network of the comedia de capa y espada works in the corpus. Each work divided into 2,000 word normal samples, 300–1,000 MFW used as features (We decided to use these parameters following the most reliable results obtained in the next section), applied Louvain community detection algorithm of resolution 1, as implemented in Gephi, the colours match the most distinguishable division into clusters"
Digital Scholarship in the Humanities-1012,Digital Scholarship in the Humanities-1012-Figure 2,Zoom-in area of the previous network with discussed works
Digital Scholarship in the Humanities-1012,Digital Scholarship in the Humanities-1012-Figures 3–8,"Accuracy of recognition of particular authors (Sor Juana, Solís and Salazar) by classification algorithm. Colours represent the results of different vectors of most frequent words: 100 (red), 200 (yellow), 300 (green), 500 (cyan), 750 (blue) and 1000 (violet)."
Digital Scholarship in the Humanities-1012,Digital Scholarship in the Humanities-1012-Figures 9–11,"Rolling SVM, NSC and Delta on La Segunda Celestina. 500 MFW and 5000 words per slice."
Digital Scholarship in the Humanities-1013,Digital Scholarship in the Humanities-1013-Figure 1,Metadata from Gallica for the Dictionnaire
Digital Scholarship in the Humanities-1013,Digital Scholarship in the Humanities-1013-Figure 2,Metadata from the BNF catalogue for the Dictionnaire
Digital Scholarship in the Humanities-1014,Digital Scholarship in the Humanities-1014-Figure 1,Japanese word length distributions.
Digital Scholarship in the Humanities-1014,Digital Scholarship in the Humanities-1014-Figure 2,English word length distributions.
Digital Scholarship in the Humanities-1014,Digital Scholarship in the Humanities-1014-Figure 3,Chinese word length distributions.
Digital Scholarship in the Humanities-1014,Digital Scholarship in the Humanities-1014-Figure 4,"Box plots of accuracy obtained using different datasets. (A) Japanese, (B) English, and (C) Chinese."
Digital Scholarship in the Humanities-1014,Digital Scholarship in the Humanities-1014-Figure 5,"The proportion of the word unigrams, POS tag bigrams, and c-wordL in the top n important features confirmed by Boruta. (A) Japanese, (B) English, and (C) Chinese."
Digital Scholarship in the Humanities-1014,Digital Scholarship in the Humanities-1014-Figure 6,"The violin plots of the most effective word unigram, POS tag bigram, and c-wordL (Japanese). (A) The most effective word unigram ‘そして (and)’. (B) The most effective POS tag bigram ‘読点_助詞 (comma_particle)’. (C) The most effective c-wordL ‘adverb_length4 (adverbs with 4 characters)’."
Digital Scholarship in the Humanities-1014,Digital Scholarship in the Humanities-1014-Figure 7,"The violin plots of the most effective word unigram, POS tag bigram, and c-wordL (English). (A) The most effective word unigram ‘until’. (B) The most effective POS tag bigram ‘past participle of be verb_verbal (noun/present participle)’. (C) The most effective c-wordL ‘others_length4 (others with 4 characters)’."
Digital Scholarship in the Humanities-1014,Digital Scholarship in the Humanities-1014-Figure 8,"The violin plots of the most effective word unigram, POS tag bigram, and c-wordL (Chinese). (A) The most effective word unigram ‘什么 (what)’. (B) The most effective POS tag bigram ‘副詞_副詞 (adverb_adverb)’. (C) The most effective c-wordL ‘adverb_length1 (adverbs with 1 character)’."
Digital Scholarship in the Humanities-1018,Digital Scholarship in the Humanities-1018-Figure 1,A query example—retrieving the distribution of works of art by the country of origin in Wikidata.
Digital Scholarship in the Humanities-1018,Digital Scholarship in the Humanities-1018-Figure 2,Number of artworks per country in Wikidata for all the art museums.
Digital Scholarship in the Humanities-1018,Digital Scholarship in the Humanities-1018-Figure 3,Number of artworks per country in the data set of the Metropolitan Museum of Art.
Digital Scholarship in the Humanities-1018,Digital Scholarship in the Humanities-1018-Figure 4,Number of artworks per country in the data set of the Rijksmuseum.
Digital Scholarship in the Humanities-1018,Digital Scholarship in the Humanities-1018-Figure 5,Percentage of items per period in the three databases.
Digital Scholarship in the Humanities-1019,Digital Scholarship in the Humanities-1019-Figure 1,Box-and-whisker plot of line lengths in the pages of P46 containing Ephesians
Digital Scholarship in the Humanities-1019,Digital Scholarship in the Humanities-1019-Figure 2,Histogram and corresponding scaled normal distribution (scaled by the population size N) of line lengths on all pages containing Ephesians in P46
Digital Scholarship in the Humanities-1019,Digital Scholarship in the Humanities-1019-Figure 3,Approximation of a discrete probability with the normal distribution using the continuity correction
Digital Scholarship in the Humanities-1019,Digital Scholarship in the Humanities-1019-Figure 4,Illustration of dynamic programming applied to the segmentation problem of breaking the sequence υ-περ ε-μου into two lines
Digital Scholarship in the Humanities-1021,Digital Scholarship in the Humanities-1021-Figure 1,A fictional network
Digital Scholarship in the Humanities-1021,Digital Scholarship in the Humanities-1021-Figure 2,A Dependency-parsed sentence
Digital Scholarship in the Humanities-1021,Digital Scholarship in the Humanities-1021-Figure 3,Network of countries in Period 1
Digital Scholarship in the Humanities-1021,Digital Scholarship in the Humanities-1021-Figure 4,Network of countries in Period 2
Digital Scholarship in the Humanities-1021,Digital Scholarship in the Humanities-1021-Figure 5,Network of countries in Period 3
Digital Scholarship in the Humanities-1021,Digital Scholarship in the Humanities-1021-Figure 6,Network of countries in Period 4
Digital Scholarship in the Humanities-1022,Digital Scholarship in the Humanities-1022-Figure 1.,The evolution of the Sierpinski triangle in five iterations
Digital Scholarship in the Humanities-1022,Digital Scholarship in the Humanities-1022-Figure 2.,(a) A monofractal model. (b) A multifractal model.
Digital Scholarship in the Humanities-1022,Digital Scholarship in the Humanities-1022-Figure 3.,"(a) The series l(j) of the consecutive sentence lengths of FW. (b) The singularity spectrum f(α) of FW from Drożdż et al. (2016, p. 36)"
Digital Scholarship in the Humanities-1022,Digital Scholarship in the Humanities-1022-Figure 4.,"Formal characteristics of Liu Yichang’s novel The Drunkard [(a) the series l(j) of the consecutive sentence lengths throughout the whole text, (b) qth-order fluctuation functions, and (c) b and the resulting singularity spectrum f(α) for (i) the seriesl(j) representing original texts)"
Digital Scholarship in the Humanities-1022,Digital Scholarship in the Humanities-1022-Figure 5.,Formal characteristics of Ding Ling’s novel The Sun Shines over the Sanggan River (the same convention as in Fig. 4 is used here)
Digital Scholarship in the Humanities-1022,Digital Scholarship in the Humanities-1022-Figure 6.,"Formal characteristics of Gao Xingjian’s Soul Mountain: (a) the progressive close-ups of the SLV; (b) an enlarged section of the third graph in (a), between the 3,500th and 4,200th sentences; (c) the singularity spectrum f(α))"
Digital Scholarship in the Humanities-1022,Digital Scholarship in the Humanities-1022-Figure 7.,Violin plot for the H-value distribution
Digital Scholarship in the Humanities-1024,Digital Scholarship in the Humanities-1024-Figure 1,Flow diagram of the corpus construction method
Digital Scholarship in the Humanities-1024,Digital Scholarship in the Humanities-1024-Figure 2,Distribution of article items across (A) regions and (B) years
Digital Scholarship in the Humanities-1024,Digital Scholarship in the Humanities-1024-Figure 3,Manual inspection dashboard
Digital Scholarship in the Humanities-1024,Digital Scholarship in the Humanities-1024-Figure 4,"Keywords for a 15 topic LDA model of a candidate corpus, as they appear in the Jupyter Notebook interface"
Digital Scholarship in the Humanities-1024,Digital Scholarship in the Humanities-1024-Figure 5,"Items with greater than 50% of words generated by Topic 1, as they appear in the Jupyter Notebook interface"
Digital Scholarship in the Humanities-1024,Digital Scholarship in the Humanities-1024-Figure 6,Labelling dashboard
Digital Scholarship in the Humanities-1024,Digital Scholarship in the Humanities-1024-Figure 7,"Cooccurence network for ‘materialism’ in final corpus, with dictionary consisting of words in the NLTK English wordlist supplemented by Spacy-identified proper nouns in corpus"
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 1.,The Temple of Artemis today
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 2.,[AR]temis application
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 3.,Modes of representation in [AR]temis
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 4.,Digitally modeling process diagram
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 5.,System architecture design
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 6.,Organizational design product specification
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 7.,Organizational design process procedure
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 8.,User interface
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 9.,[AR]temis test day images in the site of Artemis Temple
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 10.,Sufficiency of each mode for understanding the mass and location of the Temple
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 11.,The appearance of Realistic and Realistic X-Ray modes
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 12.,Sufficiency of each mode for understanding how the Temple was before
