,X,id,title,date,authors,affiliations,doi,journal
1,1,llc-1,Special Issue on Computers and Medieval Studies Edited by Marilyn Deegan (Oxford University) with Andrew Armour (Keio University) and Mark Infusino (UCLA) Computers and Medieval Studies: Points of Convergence,1991,MARILYN DEEGAN,"DEEGAN, MARILYN:None",https://doi.org/10.1093/llc/6.1.1,LLC
2,2,llc-2,Medieval Image Databases: Aspects of Cooperation and Exchange,1991,GERHARD JARITZ,"JARITZ, GERHARD:Institut fur Realienkunde des Mittelalters und der frühen Neuzeit  Austria",https://doi.org/10.1093/llc/6.1.15,LLC
3,3,llc-3,Digital Image Processing and the Beowulf Manuscript,1991,KEVIN S. KIERNAN,"KIERNAN, KEVIN S.:University of Kentucky  USA",https://doi.org/10.1093/llc/6.1.20,LLC
4,4,llc-4,Computational Analysis of Franco-Italian: St Mark's French Manuscript 13,1991,LESLIE ZARKER MORGAN,"MORGAN, LESLIE ZARKER:Loyola College  Baltimore, USA",https://doi.org/10.1093/llc/6.1.28,LLC
5,5,llc-5,The Index of Medieval Medical Images (IMMI) Project and the Origins of the Kalamazoo Session on ‘The Use of Computer Databases to Access Medieval Pictures and Diagrams’,1991,MARK INFUSINO,"INFUSINO, MARK:UCLA School of Medicine  Los Angeles, USA",https://doi.org/10.1093/llc/6.1.3,LLC
6,6,llc-6,"Text in the Electronic Age: Texual Study and Textual Study and Text Encoding, with Examples from Medieval Texts",1991,C. M. SPERBERG-McQUEEN,"SPERBERG-McQUEEN, C. M.:University of Illinois  Chicago, USA",https://doi.org/10.1093/llc/6.1.34,LLC
7,7,llc-7,The Computerized National Archaeological Record for England—its Development and Future Potential for Medieval Studies,1991,ROGER H. LEECH,"LEECH, ROGER H.:Royal Commission on the Historical Monuments of England  Southampton S01 9FP",https://doi.org/10.1093/llc/6.1.47,LLC
8,8,llc-8,The Beowulf Workstation: One Model of Computer-Assisted Literary Pedagogy,1991,PATRICK W. CONNER,"CONNER, PATRICK W.:West Virginia University  USA",https://doi.org/10.1093/llc/6.1.50,LLC
9,9,llc-9,"The Index of Charms: Purpose, Design, and Implementation",1991,SUZANNE SHELDON PARNELL; LEA T. OLSAN,"PARNELL, SUZANNE SHELDON:Dallas, Texas, USA;  OLSAN, LEA T.:Northeast Louisiana State University  USA",https://doi.org/10.1093/llc/6.1.59,LLC
10,10,llc-10,Describing Stained Glass: The Corpus Vitrearum Archive in the National Buildings Record,1991,SARAH BROWN,"BROWN, SARAH:Royal Commission on the Historical Monuments of England",https://doi.org/10.1093/llc/6.1.6,LLC
11,11,llc-11,Reports of Representatives,1991,Mari Nagase,"Nagase, Mari:Tokyo Woman's Christian University",https://doi.org/10.1093/llc/6.1.64,LLC
12,12,llc-12,UK Literary Computing 1988–9,1991,NA,NA,https://doi.org/10.1093/llc/6.1.65,LLC
13,13,llc-13,Slavonic,1991,NA,NA,https://doi.org/10.1093/llc/6.1.67,LLC
14,14,llc-14,Diary,1991,NA,NA,https://doi.org/10.1093/llc/6.1.70,LLC
15,15,llc-15,News and Notes,1991,NA,NA,https://doi.org/10.1093/llc/6.1.73,LLC
16,16,llc-16,New Publications,1991,NA,NA,https://doi.org/10.1093/llc/6.1.76,LLC
17,17,llc-17,Documents Received,1991,NA,NA,https://doi.org/10.1093/llc/6.1.78,LLC
18,18,llc-18,The Index of Christian Art: Present Situation and Prospects,1991,BRENDAN CASSIDY,"CASSIDY, BRENDAN:Princeton University  New Jersey, USA",https://doi.org/10.1093/llc/6.1.8,LLC
19,19,llc-19,"Stylochronometry: Stylistic Development, Sequence of Composition, and Relative Dating",2007,Constantina Stamou,"Stamou, Constantina:Private Researcher",https://doi.org/10.1093/llc/fqm029,LLC
20,20,llc-20,"What Does the Statistical Style Analysis of Film Involve? A Review of Moving into Pictures. More on Film History, Style, and Analysis",2007,Warren Buckland,"Buckland, Warren:Oxford Brookes University, UK",https://doi.org/10.1093/llc/fqm046,LLC
21,21,llc-21,The Internet and the Madonna: Religious Visionary Experience on the Web.,2008,Geert Lernout,"Lernout, Geert:University of Antwerp, Belgium",https://doi.org/10.1093/llc/fqm047,LLC
22,22,llc-22,Zitate per Mausklick? Das Textkorpus zum WÖRTERBUCH DER BAIRISCHEN MUNDARTEN IN ÖSTERREICH (WBÖ) als leistungsstarkes Werkzeug für die lexikographische Praxis,2008,Eveline Wandl-Vogt,"Wandl-Vogt, Eveline:Institut für Österreichische Dialekt- und Namenlexika, Österreichische Akademie der Wissenschaften, Wohllebengasse 12-14/2, A-1040 Wien, Österreich",https://doi.org/10.1093/llc/fqm048,LLC
23,23,llc-23,Permanent Pixels: Building Blocks for the Longevity of Digital Surrogates of Historical Photographs.René van Horik.,2007,Melissa Terras,"Terras, Melissa:School of Library, Archive and Information Studies, University College London, UK",https://doi.org/10.1093/llc/fqm049,LLC
